date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
08/09/25,1538,MG,982.126052700901,1289,F,past.lact,2266,3,614.903,623.12,8.217,7.2,7.3,220
08/09/25,1604,MG,982.126052700901,1289,F,past.lact,2266,4,0.083,8.539,8.456,7.4,31.7,220
08/09/25,1615,MG,982.126052700901,1289,F,past.lact,2266,5,0.043,8.236,8.193,7,9.3,220
08/10/25,0757,MG,982.126053064752,1286,F,past.lact,8082,1,4.364,10.281,5.917,9,9.5,235
08/10/25,0822,MG,982.126053064752,1286,F,past.lact,8082,2,4.189,18.214,14.025,7.1,7.8,235
08/10/25,0902,MG,982.126053064752,1286,F,past.lact,8082,3,4.334,12.647,8.313,7.3,63,235
08/10/25,0932,MG,982.126053064752,1286,F,past.lact,8082,4,4.408,13.969,9.561,8.3,9.1,235
08/19/25,1214,MG,982.126053064752,1286,F,past.lact,8082,5,4.471,11.844,7.373,8.4,29.2,235
08/20/25,0945,MG,982.126053019888,1272,F,unk,1190,1,4.263,17.648,13.385,12,48.2,240
08/21/25,0936,MG,982.126053019888,1272,F,unk,1190,2,4.468,9.07,4.602,10.8,33.4,240
08/21/25,1311,MG,982.126053019888,1272,F,unk,1190,3,758.311,759.831,1.52,7,21.3,240
08/21/25,1350,MG,982.126053019888,1272,F,unk,1190,4,0.093,5.004,4.911,12.4,52,240
08/21/25,1300,MG,982.126053019888,1272,F,unk,1190,5,2.665,9.99,7.325,9.4,41.9,240
08/21/25,1038,MG,928.126052699107,1288,M,scrotal,2227,1,0.055,9.038,8.983,8.6,23.9,240
08/21/25,1045,MG,928.126052699107,1288,M,scrotal,2227,2,321.613,328.333,6.72,8.9,29,240
08/21/25,1047,MG,928.126052699107,1288,M,scrotal,2227,3,0.05,7.197,7.147,8.7,29,240
08/21/25,1055,MG,928.126052699107,1288,M,scrotal,2227,4,0.055,12.505,12.45,9.6,29.4,240
