date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
7/26/2025,710,WM,982.126.083.036.873,5222,F,unk,6397,2,852.645,854.175,1.53,11.2,19,210
7/25/2025,1655,WM,982.126.083.036.873,5222,F,unk,6397,3,297.209,300.058,2.849,18.9,62,210
7/25/2025,1703,WM,982.126.083.036.873,5222,F,unk,6397,4,785.423,787.925,2.502,12.5,43.4,210
7/26/2025,717,WM,982.126.083.036.873,5222,F,unk,6397,5,347.848,349.983,2.135,11.6,21.5,210
7/27/2025,635,WM,,9011,M,non.repro,6403,1,389.55,392.373,2.823,9.2,40.4,
7/27/2025,637,WM,,9011,M,non.repro,6403,2,544.505,549.322,4.817,7.8,40.8,
7/27/2025,640,WM,,9011,M,non.repro,6403,3,706.83,711.441,4.611,9.9,49.2,
7/27/2025,645,WM,,9011,M,non.repro,6403,4,65.436,67.743,2.307,7.9,41.2,
7/27/2025,657,WM,,9011,M,non.repro,6403,5,807.956,809.784,1.828,10.8,50.6,
7/21/2025,838,WM,982.126.052.698.977,5220,M,unk,6400,1,820.119,826.798,6.679,12.2,21.8,230
7/21/2025,952,WM,982.126.052.698.977,5220,M,unk,6400,2,516.633,517.877,1.244,8.5,29,230
7/21/2025,957,WM,982.126.052.698.977,5220,M,unk,6400,3,827.207,829.282,2.075,8.9,23.7,230
7/22/2025,557,WM,982.126.052.698.977,5220,M,unk,6400,4,177.665,181.982,4.317,7.6,18.2,230
7/22/2025,616,WM,982.126.052.698.977,5220,M,unk,6400,5,199.395,202.481,3.086,11.6,47.4,230
7/20/2025,1530,WM,,5224,F,unk,6398,1,347.037,350.141,3.104,14.2,35,230
7/20/2025,1535,WM,,5224,F,unk,6398,2,542.783,545.479,2.696,11.4,23.2,230
7/20/2025,1608,WM,,5224,F,unk,6398,3,805.576,809.071,3.495,11,51,230
7/20/2025,1619,WM,,5224,F,unk,6398,4,279.856,283.977,4.121,12,57,230
7/20/2025,1634,WM,,5224,F,unk,6398,5,328.932,332.421,3.489,13.2,6,230
7/31/2025,740,MG,982.126053062696,1259,M,part.scrotal,1160,1,611.066,615.048,3.982,7.4,61.8,210
7/31/2025,744,MG,982.126053062696,1259,M,part.scrotal,1160,2,846.428,853.496,7.068,9.8,60.4,210
6/6/2025,647,MG,982.126053062696,1259,M,part.scrotal,1160,3,10.536,20.134,9.598,7.7,47.9,210
6/6/2025,740,MG,982.126053062696,1259,M,part.scrotal,1160,4,391.335,417.73,26.395,10.9,61,210
6/6/2025,947,MG,982.126053062696,1259,M,part.scrotal,1160,5,902.101,914.633,12.532,9.5,57.6,210
7/31/2025,1055,MG,982.126053062262,1264,F,past.lact,1145,1,4.512,8.803,4.291,9.7,11.2,190
7/31/2025,1557,MG,982.126053062262,1264,F,past.lact,1145,2,33.569,39.825,6.256,8.4,52.5,190
7/31/2025,1612,MG,982.126053062262,1264,F,past.lact,1145,3,0.185,4.592,4.407,7.3,30.4,190
7/31/2025,1621,MG,982.126053062262,1264,F,past.lact,1145,4,0.058,3.457,3.399,8.3,66.8,190
8/1/2025,1422,MG,982.126053062262,1264,F,past.lact,1145,5,20.649,29.612,8.963,8.1,31.4,190
8/1/2025,737,MG,982.126.053.036.451,1276,M,scrotal,1150,1,0.015,2.905,2.89,10,35.2,260
8/1/2025,753,MG,982.126.053.036.451,1276,M,scrotal,1150,2,4.553,10.357,5.804,11.6,28.2,260
8/1/2025,906,MG,982.126.053.036.451,1276,M,scrotal,1150,3,4.525,9.772,5.247,10.6,64.8,260
8/1/2025,1043,MG,982.126.053.036.451,1276,M,scrotal,1150,4,0.004,3.13,3.126,8.6,17.2,260
8/1/2025,1144,MG,982.126.053.036.451,1276,M,scrotal,1150,5,4.577,8.881,4.304,7.7,10.7,260
