"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"min_freq_mean",0.0811110900753015,-0.308262374935125,-0.0930805481070685,-0.221686538034625,-0.357547289447382,-0.476493809397423,0.653452997406225,0.0313630010219083,-0.136308092015223,-0.00233278404850179,0.133114880937391,0.089039868585273,0.0558360304017944,-0.00180961860608529,-0.0263128266152893,0.0236826940399811,-0.095437613339989
"max_freq_mean",0.330790632158438,0.232835749427121,-0.0232769937215957,0.0756837449764266,0.182948083455521,-0.26410404127457,0.15629988147012,-0.0890769872756393,0.264705379455473,-0.107739607524355,-0.209587879112216,0.235117816056621,0.105940266760241,-0.0549686558309111,-0.103010536439253,0.0227678875478931,0.698749774455155
"bandw_mean",0.314857228849515,0.269518602275199,-0.00819767208457528,0.102210226988997,0.224244051935495,-0.193427813980699,0.0690316038895608,-0.0930364292316944,0.288250741483544,-0.108789514838012,-0.222515763269418,0.222265258003411,0.0830222614350865,-0.058463702785136,-0.101192109048103,-0.0349800973735988,-0.707797113362521
"quart_25_mean",0.32809490424739,0.0425250849282409,-0.159075394564943,-0.0888716503331223,-0.324186196704445,0.212238111720342,0.0470529190123621,0.108018590398726,0.246214768412475,0.650374092031055,-0.337032787629324,-0.22637999448485,0.0852478984145441,0.168563746254188,0.0891501482949256,0.0351692549912557,-0.00240010987785889
"quart_50_mean",0.351211338362127,0.129969658568122,-0.0681848157372064,-0.0349789104316157,-0.286207546050291,0.162957885499446,-0.116816334744692,-0.0146412899056755,-0.133863729304761,-0.323158573609937,0.212019191528082,-0.245781421055054,0.202778149107152,0.268723390351645,-0.615847211018638,-0.105999269364745,0.00297626508452279
"quart_75_mean",0.345183204652657,0.218686968745728,-0.0811047044312609,0.012652563905228,-0.0759913915135971,-0.126658900482242,0.00658180762410647,0.0324510078315426,-0.119883201186132,-0.392131684872174,-0.0264548635204401,-0.472271516783226,-0.28369356388302,0.0263870358408878,0.573248717425483,0.041217204130766,-0.00148268151269318
"entropy_mean",0.269932918544811,0.244573950695223,0.107155426357476,0.192469125224346,0.283349027463819,-0.286626241286308,-0.0833582186848305,0.184912249931942,-0.391992255835488,0.480477226480497,0.469232593475399,0.0140087584997004,0.0261590894685585,0.0724048200766468,0.00455398859831525,0.0656327886142758,-0.0079889065329144
"Variance",6.12512801972102,3.60266937774423,2.54232360001957,1.33295010720774,1.14771297231649,0.609281592193688,0.555474667390849,0.327502652270699,0.19130842251874,0.165315275361124,0.156415747456235,0.089875332697593,0.0598318809706857,0.0547070093093185,0.0334489517256039,0.00602823471347565,2.61563829383833e-05
"Standard deviation",2.47489959790716,1.89806990855032,1.5944665565698,1.15453458467373,1.07131366663386,0.78056491862861,0.74530172909423,0.572278474407957,0.437388182875052,0.406589812170846,0.395494307741887,0.299792149159368,0.244605562019112,0.233895295611773,0.182890545752381,0.0776417073065479,0.0051143311330401
"Proportion of Variance",0.3603,0.21192,0.14955,0.07841,0.06751,0.03584,0.03267,0.01926,0.01125,0.00972,0.0092,0.00529,0.00352,0.00322,0.00197,0.00035,0
"Cumulative Proportion",0.3603,0.57222,0.72177,0.80018,0.86769,0.90353,0.93621,0.95547,0.96673,0.97645,0.98565,0.99094,0.99446,0.99768,0.99964,1,1
